sub_bucket_id,gene
endothelial_cell_signature_louvain_4,SLCO2B1
endothelial_cell_signature_louvain_4,STAB1
endothelial_cell_signature_louvain_4,SVEP1
endothelial_cell_signature_louvain_4,THBD
endothelial_cell_signature_louvain_4,VWF
endothelial_cell_signature_louvain_5,ADA2
endothelial_cell_signature_louvain_5,AOC3
endothelial_cell_signature_louvain_5,ARHGAP15
endothelial_cell_signature_louvain_5,ARHGAP25
endothelial_cell_signature_louvain_5,BSG
endothelial_cell_signature_louvain_5,CD200
endothelial_cell_signature_louvain_5,CD302
endothelial_cell_signature_louvain_5,CD34
endothelial_cell_signature_louvain_5,CD37
endothelial_cell_signature_louvain_5,CD4
endothelial_cell_signature_louvain_5,CD48
endothelial_cell_signature_louvain_5,CD52
endothelial_cell_signature_louvain_5,CD81
endothelial_cell_signature_louvain_5,CSF2RB
endothelial_cell_signature_louvain_5,CXCL10
endothelial_cell_signature_louvain_5,CYB5R3
endothelial_cell_signature_louvain_5,DPYSL2
endothelial_cell_signature_louvain_5,ENTPD1
endothelial_cell_signature_louvain_5,EVI2A
endothelial_cell_signature_louvain_5,EVI2B
endothelial_cell_signature_louvain_5,FILIP1L
endothelial_cell_signature_louvain_5,FOXP3
endothelial_cell_signature_louvain_5,FYN
endothelial_cell_signature_louvain_5,GIN1
endothelial_cell_signature_louvain_5,GMFG
endothelial_cell_signature_louvain_5,GPR183
endothelial_cell_signature_louvain_5,GZMK
endothelial_cell_signature_louvain_5,HMCN1
endothelial_cell_signature_louvain_5,IKBKB
endothelial_cell_signature_louvain_5,IL10RA
endothelial_cell_signature_louvain_5,IL16
endothelial_cell_signature_louvain_5,IL1B
endothelial_cell_signature_louvain_5,IRAG2
endothelial_cell_signature_louvain_5,IRAK3
endothelial_cell_signature_louvain_5,IRF8
endothelial_cell_signature_louvain_5,ITGAX
endothelial_cell_signature_louvain_5,ITK
endothelial_cell_signature_louvain_5,ITM2A
endothelial_cell_signature_louvain_5,KIT
endothelial_cell_signature_louvain_5,LCN2
endothelial_cell_signature_louvain_5,LRRC32
endothelial_cell_signature_louvain_5,LY75-CD302
endothelial_cell_signature_louvain_5,MIR199B
endothelial_cell_signature_louvain_5,MPEG1
endothelial_cell_signature_louvain_5,MYADM
endothelial_cell_signature_louvain_5,MYD88
endothelial_cell_signature_louvain_5,NCF4
endothelial_cell_signature_louvain_5,NLRC3
endothelial_cell_signature_louvain_5,NRP1
endothelial_cell_signature_louvain_5,PGLYRP1
endothelial_cell_signature_louvain_5,PLSCR4
endothelial_cell_signature_louvain_5,PLXNA2
endothelial_cell_signature_louvain_5,RARRES2
endothelial_cell_signature_louvain_5,RNASE6
endothelial_cell_signature_louvain_5,SELL
endothelial_cell_signature_louvain_5,SEMA3G
endothelial_cell_signature_louvain_5,SEMA6D
endothelial_cell_signature_louvain_5,SH2B3
endothelial_cell_signature_louvain_5,SPRED2
endothelial_cell_signature_louvain_5,STC1
endothelial_cell_signature_louvain_5,SYNE1
endothelial_cell_signature_louvain_5,SYNE3
endothelial_cell_signature_louvain_5,THEMIS2
endothelial_cell_signature_louvain_5,THY1
endothelial_cell_signature_louvain_5,TNF
endothelial_cell_signature_louvain_5,TNFRSF1A
endothelial_cell_signature_louvain_5,TNFRSF21
endothelial_cell_signature_louvain_5,TSPAN4
endothelial_cell_signature_louvain_5,TSPAN7
endothelial_cell_signature_louvain_6,ACTA2
endothelial_cell_signature_louvain_6,ARHGAP31
endothelial_cell_signature_louvain_6,ARHGAP42
endothelial_cell_signature_louvain_6,ARHGAP6
endothelial_cell_signature_louvain_6,ARHGDIB
endothelial_cell_signature_louvain_6,ARHGEF17
endothelial_cell_signature_louvain_6,ARHGEF26
endothelial_cell_signature_louvain_6,BTG1
endothelial_cell_signature_louvain_6,CALD1
endothelial_cell_signature_louvain_6,CNN1
endothelial_cell_signature_louvain_6,DLC1
endothelial_cell_signature_louvain_6,DMD
endothelial_cell_signature_louvain_6,DYSF
endothelial_cell_signature_louvain_6,ELMO1
endothelial_cell_signature_louvain_6,FOXO3
endothelial_cell_signature_louvain_6,KANK2
endothelial_cell_signature_louvain_6,KANK3
endothelial_cell_signature_louvain_6,MECOM
endothelial_cell_signature_louvain_6,MPRIP
endothelial_cell_signature_louvain_6,MYH11
endothelial_cell_signature_louvain_6,MYL9
endothelial_cell_signature_louvain_6,NNMT
endothelial_cell_signature_louvain_6,NUAK1
endothelial_cell_signature_louvain_6,PCDH18
endothelial_cell_signature_louvain_6,PDLIM2
endothelial_cell_signature_louvain_6,PGM5
endothelial_cell_signature_louvain_6,PLXDC1
endothelial_cell_signature_louvain_6,PPP1R12A
endothelial_cell_signature_louvain_6,RHOA
endothelial_cell_signature_louvain_6,RHOB
endothelial_cell_signature_louvain_6,ROCK1
endothelial_cell_signature_louvain_6,ROCK2
endothelial_cell_signature_louvain_6,RUNX1T1
endothelial_cell_signature_louvain_6,SMTN
endothelial_cell_signature_louvain_6,SORBS1
endothelial_cell_signature_louvain_6,SORBS3
endothelial_cell_signature_louvain_6,STARD13
endothelial_cell_signature_louvain_6,SYNPO2
endothelial_cell_signature_louvain_6,TAGLN
endothelial_cell_signature_louvain_6,TGFB1I1
endothelial_cell_signature_louvain_6,TGFBR2
endothelial_cell_signature_louvain_6,TLN1
endothelial_cell_signature_louvain_6,TNS1
endothelial_cell_signature_louvain_6,TNS2
endothelial_cell_signature_louvain_6,TNS3
endothelial_cell_signature_louvain_6,UTRN
endothelial_cell_signature_louvain_6,VCL
endothelial_cell_signature_louvain_6,VIM
endothelial_cell_signature_louvain_7,ADD1
endothelial_cell_signature_louvain_7,AGTR1
endothelial_cell_signature_louvain_7,CD2AP
endothelial_cell_signature_louvain_7,CFTR
endothelial_cell_signature_louvain_7,CLIC2
endothelial_cell_signature_louvain_7,CLIC4
endothelial_cell_signature_louvain_7,CLIC5
endothelial_cell_signature_louvain_7,CNRIP1
endothelial_cell_signature_louvain_7,CREBL2
endothelial_cell_signature_louvain_7,DAB2
endothelial_cell_signature_louvain_7,DSG2
endothelial_cell_signature_louvain_7,EZR
endothelial_cell_signature_louvain_7,FERMT2
endothelial_cell_signature_louvain_7,FOSL2
endothelial_cell_signature_louvain_7,GARRE1
endothelial_cell_signature_louvain_7,GSN
endothelial_cell_signature_louvain_7,HYAL2
endothelial_cell_signature_louvain_7,IQGAP2
endothelial_cell_signature_louvain_7,LAYN
endothelial_cell_signature_louvain_7,MCAM
endothelial_cell_signature_louvain_7,MSN
endothelial_cell_signature_louvain_7,NOS3
endothelial_cell_signature_louvain_7,PODXL
endothelial_cell_signature_louvain_7,PPM1F
endothelial_cell_signature_louvain_7,PPP1R16B
endothelial_cell_signature_louvain_7,RCBTB2
endothelial_cell_signature_louvain_7,RDX
endothelial_cell_signature_louvain_7,RFLNB
endothelial_cell_signature_louvain_7,RNASE1
endothelial_cell_signature_louvain_7,SGIP1
endothelial_cell_signature_louvain_7,SNED1
endothelial_cell_signature_louvain_7,SST
endothelial_cell_signature_louvain_7,SWAP70
endothelial_cell_signature_louvain_7,WIPF1
endothelial_cell_signature_louvain_7,ZDHHC21
endothelial_cell_signature_louvain_8,ADAM10
endothelial_cell_signature_louvain_8,BCL6B
endothelial_cell_signature_louvain_8,DLL1
endothelial_cell_signature_louvain_8,DLL4
endothelial_cell_signature_louvain_8,EDF1
endothelial_cell_signature_louvain_8,GRB2
endothelial_cell_signature_louvain_8,HEY1
endothelial_cell_signature_louvain_8,HEY2
endothelial_cell_signature_louvain_8,HEYL
endothelial_cell_signature_louvain_8,JAG1
endothelial_cell_signature_louvain_8,JAG2
endothelial_cell_signature_louvain_8,MAML2
endothelial_cell_signature_louvain_8,MAP4K3
endothelial_cell_signature_louvain_8,MIR10A
endothelial_cell_signature_louvain_8,MIR34A
endothelial_cell_signature_louvain_8,NOTCH1
endothelial_cell_signature_louvain_8,NOTCH3
endothelial_cell_signature_louvain_8,NOTCH4
endothelial_cell_signature_louvain_8,PELO
endothelial_cell_signature_louvain_8,RBPJ
endothelial_cell_signature_louvain_8,RNF38
endothelial_cell_signature_louvain_8,RPS27A
endothelial_cell_signature_louvain_8,STAMBPL1
endothelial_cell_signature_louvain_9,ARNT
endothelial_cell_signature_louvain_9,BHMT2
endothelial_cell_signature_louvain_9,BOC
endothelial_cell_signature_louvain_9,CALHM2
endothelial_cell_signature_louvain_9,CSNK2B
endothelial_cell_signature_louvain_9,CTNNB1
endothelial_cell_signature_louvain_9,DCHS1
endothelial_cell_signature_louvain_9,DUSP6
endothelial_cell_signature_louvain_9,FRZB
endothelial_cell_signature_louvain_9,GEM
endothelial_cell_signature_louvain_9,HNMT
endothelial_cell_signature_louvain_9,IFFO1
endothelial_cell_signature_louvain_9,IPO11
endothelial_cell_signature_louvain_9,JDP2
endothelial_cell_signature_louvain_9,KDM6B
endothelial_cell_signature_louvain_9,LIX1L
endothelial_cell_signature_louvain_9,MET
endothelial_cell_signature_louvain_9,MIR200C
endothelial_cell_signature_louvain_9,NES
endothelial_cell_signature_louvain_9,NRG1
endothelial_cell_signature_louvain_9,NXF1
endothelial_cell_signature_louvain_9,PRKDC
endothelial_cell_signature_louvain_9,PROM1
endothelial_cell_signature_louvain_9,PTPRS
endothelial_cell_signature_louvain_9,RASSF2
endothelial_cell_signature_louvain_9,RNF144A
endothelial_cell_signature_louvain_9,RPS6KA2
endothelial_cell_signature_louvain_9,TCF4
endothelial_cell_signature_louvain_9,VEGFA
endothelial_cell_signature_louvain_9,ZEB1
endothelial_cell_signature_louvain_10,ACVR1
endothelial_cell_signature_louvain_10,ACVR2B
endothelial_cell_signature_louvain_10,ACVRL1
endothelial_cell_signature_louvain_10,ADGRL2
endothelial_cell_signature_louvain_10,AMOTL1
endothelial_cell_signature_louvain_10,AMOTL2
endothelial_cell_signature_louvain_10,BARX1
endothelial_cell_signature_louvain_10,BLOC1S6
endothelial_cell_signature_louvain_10,BMP4
endothelial_cell_signature_louvain_10,BMP6
endothelial_cell_signature_louvain_10,BMPR2
endothelial_cell_signature_louvain_10,CCDC69
endothelial_cell_signature_louvain_10,CDKN2B
endothelial_cell_signature_louvain_10,CTSO
endothelial_cell_signature_louvain_10,EBF1
endothelial_cell_signature_louvain_10,ELK3
endothelial_cell_signature_louvain_10,FGF1
endothelial_cell_signature_louvain_10,FGFR3
endothelial_cell_signature_louvain_10,FOXJ2
endothelial_cell_signature_louvain_10,FOXP1
endothelial_cell_signature_louvain_10,FRMD6
endothelial_cell_signature_louvain_10,GDF2
endothelial_cell_signature_louvain_10,GJC1
endothelial_cell_signature_louvain_10,HECW2
endothelial_cell_signature_louvain_10,ID1
endothelial_cell_signature_louvain_10,ID3
endothelial_cell_signature_louvain_10,IER2
endothelial_cell_signature_louvain_10,KLF11
endothelial_cell_signature_louvain_10,KLHDC1
endothelial_cell_signature_louvain_10,LATS2
endothelial_cell_signature_louvain_10,LHFPL6
endothelial_cell_signature_louvain_10,LRRC17
endothelial_cell_signature_louvain_10,LRRC8C
endothelial_cell_signature_louvain_10,MIR1-1
endothelial_cell_signature_louvain_10,MIR99B
endothelial_cell_signature_louvain_10,MSX1
endothelial_cell_signature_louvain_10,NEDD4
endothelial_cell_signature_louvain_10,NEGR1
endothelial_cell_signature_louvain_10,NRXN1
endothelial_cell_signature_louvain_10,P2RY8
endothelial_cell_signature_louvain_10,PALMD
endothelial_cell_signature_louvain_10,PIK3R1
endothelial_cell_signature_louvain_10,PITX2
endothelial_cell_signature_louvain_10,RBX1
endothelial_cell_signature_louvain_10,RCSD1
endothelial_cell_signature_louvain_10,SHE
endothelial_cell_signature_louvain_10,SMAD4
endothelial_cell_signature_louvain_10,SMAD7
endothelial_cell_signature_louvain_10,SOCS5
endothelial_cell_signature_louvain_10,SUSD6
endothelial_cell_signature_louvain_10,TACC1
endothelial_cell_signature_louvain_10,TMEM100
endothelial_cell_signature_louvain_10,TMEM47
endothelial_cell_signature_louvain_10,ZNF423
endothelial_cell_signature_louvain_10,ZNF521
endothelial_cell_signature_louvain_11,ADCY4
endothelial_cell_signature_louvain_11,AFDN
endothelial_cell_signature_louvain_11,ARAP3
endothelial_cell_signature_louvain_11,CCM2
endothelial_cell_signature_louvain_11,CDC42
endothelial_cell_signature_louvain_11,CDK17
endothelial_cell_signature_louvain_11,ENPP2
endothelial_cell_signature_louvain_11,FILIP1
endothelial_cell_signature_louvain_11,GABRA4
endothelial_cell_signature_louvain_11,GABRB3
endothelial_cell_signature_louvain_11,HEG1
endothelial_cell_signature_louvain_11,KRAS
endothelial_cell_signature_louvain_11,KRIT1
endothelial_cell_signature_louvain_11,KSR1
endothelial_cell_signature_louvain_11,LGALS8
endothelial_cell_signature_louvain_11,LRPAP1
endothelial_cell_signature_louvain_11,MAGI1
endothelial_cell_signature_louvain_11,MSRB3
endothelial_cell_signature_louvain_11,PDCD10
endothelial_cell_signature_louvain_11,PDE2A
endothelial_cell_signature_louvain_11,PDE4D
endothelial_cell_signature_louvain_11,PDE7B
endothelial_cell_signature_louvain_11,PJA2
endothelial_cell_signature_louvain_11,PKM
endothelial_cell_signature_louvain_11,PLCL1
endothelial_cell_signature_louvain_11,PLEKHG1
endothelial_cell_signature_louvain_11,PLPP1
endothelial_cell_signature_louvain_11,PRKD2
endothelial_cell_signature_louvain_11,PTPRE
endothelial_cell_signature_louvain_11,PTPRG
endothelial_cell_signature_louvain_11,RAB1A
endothelial_cell_signature_louvain_11,RAB1B
endothelial_cell_signature_louvain_11,RAP1A
endothelial_cell_signature_louvain_11,RAP1B
