gene,score,bucket,sub_bucket_id,sub_bucket_label,n_genes
PLXNB3,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
PLXND1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
PROX1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
RASIP1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
ROBO4,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
SEMA3E,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
SEMA4A,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
SEMA5A,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
SEMA6A,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
SMAD1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
SOX18,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
SVBP,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
SYNJ2BP,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
TEK,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
TGFB1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
TGFBR1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
TGFBR2,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
TGFBR3,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
TIE1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
TJP1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
TMEM100,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
VASH1,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
VASH2,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
VEGFB,Angiogenesis,Angiogenic Signalling,angiogenic_signalling_louvain_7,Angiogenic Growth Factor Signalling,79
