score,bucket,n_genes,n_sub_buckets,genes
Angiogenesis,Angiogenic Signalling,676,14,AAMP;ABL1;ACKR3;ACVR1;ACVRL1;ADAM10;ADAM17;ADAMTS12;ADAMTS3;ADAMTS9;ADGRA2;ADGRB1;ADGRG6;ADGRL2;ADIPOQ;ADM;ADORA2B;ADTRP;AGGF1;AGT;AGTR1;AGTR2;AIMP1;AKT1;AKT2;AKT3;ALDH1A2;ALOX5;AMOT;ANG;ANGPT1;ANGPT2;ANGPT4;ANXA1;ANXA3;APELA;APLN;APLNR;APOA1;APOD;APOE;APOH;APP;ARID5B;ARNT;ASB4;ATF4;ATOH8;ATP2B4;ATP5F1A;ATP5F1B;ATP5IF1;BAD;BCAR1;BCAS3;BMP10;BMP4;BMP6;BMPER;BMPR2;BRCA1;BSG;C3;C3AR1;C5;C5AR1;CALCA;CALR;CARD10;CASP9;CAV1;CAV2;CBL;CBLB;CCBE1;CCL11;CCL2;CCL24;CCL26;CCM2;CCN2;CCN3;CCND2;CCR2;CCR3;CD34;CD40;CDC42;CDH13;CDH5;CDKN1A;CDKN1B;CEACAM1;CEMIP2;CEP57;CHURC1;CIB1;CITED1;CITED2;CLASP2;CLEC14A;CLIC3;CLN3;CNMD;COL4A1;COL4A3;COL8A1;COL8A2;CORO1B;CREB3L1;CRIPTO;CRKL;CSNK2B;CSPG4;CSRNP1;CTNNB1;CTNND1;CUL7;CXCL12;CXCL13;CXCL17;CXCL6;CXCR3;CYBA;CYP1B1;DAB2;DAB2IP;DBH;DCN;DLG1;DLL1;DLL4;DNAJA4;DPP4;DSG2;DSTYK;E2F2;E2F7;E2F8;ECM1;EDN1;EDN2;EDNRA;EFNA1;EFNB2;EGF;EGFL7;EGFL8;EGFR;EGLN3;EGR3;EHD4;EIF2AK3;EMC10;EMP2;ENG;EPHA2;EPHB4;EPN1;EPN2;ERN1;ESM1;ETS1;EXT1;EZR;F3;F7;FAM20C;FAP;FER;FGF1;FGF10;FGF12;FGF14;FGF16;FGF17;FGF18;FGF19;FGF2;FGF20;FGF21;FGF22;FGF23;FGF3;FGF4;FGF5;FGF6;FGF7;FGF8;FGF9;FGFBP1;FGFBP3;FGFR1;FGFR2;FGFR3;FGFR4;FGFRL1;FIBP;FKBPL;FLRT1;FLRT2;FLRT3;FLT1;FLT4;FN1;FOXC2;FOXF1;FOXP1;FRS2;FRS3;FSHR;FSTL1;FUT1;FUT2;FZD4;GAB1;GADD45A;GALNT3;GATA2;GATA3;GATA4;GBX2;GDF2;GFUS;GHRL;GHSR;GIPC1;GJC1;GLMN;GLUL;GNA13;GPC1;GPI;GPLD1;GPX1;GRB2;GREM1;GRN;HAS2;HDAC5;HDAC7;HDAC9;HEG1;HEY1;HEY2;HGF;HGS;HHIP;HIF1A;HIF1AN;HIP1;HIP1R;HMGB1;HMGB2;HMOX1;HOXA13;HPSE;HRAS;HRG;HSPA12B;HSPB1;HSPG2;HTR2B;ID1;IFT20;IFT80;IGF2;IHH;IL10;IL12A;IL12B;IL1A;IL1B;IL1R1;IL6;IL6R;IL6ST;IQGAP1;ISL1;ITGA4;ITGA5;ITGAV;ITGB1;ITGB1BP1;ITGB2;ITGB3;ITGB8;JAK1;JAK2;JCAD;JMJD6;JMJD7-PLA2G4B;JMJD8;JUN;JUNB;JUP;KANK2;KDR;KIF16B;KL;KLB;KLF2;KLF4;KRAS;KRIT1;LCN2;LEF1;LEP;LGALS8;LGMN;LIPA;LOX;LOXL2;LPXN;LRG1;LRIG2;LRIT3;LRP1;MAP2K1;MAP2K2;MAP2K3;MAP2K5;MAPK1;MAPK11;MAPK12;MAPK13;MAPK14;MAPK3;MAPKAPK2;MAPKAPK3;MDK;MECP2;MEF2C;MEOX2;MET;MIA3;MICALL1;MIR1-1;MIR101-1;MIR106A;MIR107;MIR10A;MIR10B;MIR125A;MIR126;MIR129-1;MIR143;MIR146A;MIR15A;MIR15B;MIR16-1;MIR17;MIR18A;MIR195;MIR199A1;MIR19A;MIR19B1;MIR200A;MIR200B;MIR200C;MIR205;MIR20A;MIR20B;MIR21;MIR221;MIR222;MIR23A;MIR29A;MIR29C;MIR30A;MIR30B;MIR30C1;MIR30E;MIR31;MIR34A;MIR34B;MIR34C;MIR98;MIRLET7A1;MIRLET7B;MIRLET7F1;MMP14;MMRN1;MMRN2;MSN;MUC20;MYDGF;MYH9;MYO18B;MYO1E;MYOCD;NAXE;NDRG2;NDRG4;NDST1;NF1;NFATC2;NFATC4;NFE2L2;NFKB1;NGFR;NHERF1;NKX2-5;NODAL;NOG;NOS3;NOTCH1;NOTCH4;NOX1;NOX5;NPR2;NPTN;NR2E1;NR2F2;NR4A1;NR4A3;NRARP;NRAS;NRP1;NRP2;NRXN1;NTRK2;NUS1;OFD1;OTULIN;OTX2;P2RX4;P3R3URF-PIK3R3;PACSIN2;PAK1;PARVA;PATZ1;PAXIP1;PDCD10;PDCD6;PDCL3;PDGFA;PDGFB;PDGFC;PDGFD;PDGFRA;PDGFRB;PDGFRL;PDHA2;PDPK1;PECAM1;PF4;PGF;PHF14;PIK3C2A;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PIK3R1;PIK3R2;PIK3R3;PITX2;PKM;PLA2G4A;PLA2G4B;PLA2G4C;PLA2G4D;PLA2G4E;PLA2G4F;PLAT;PLCG1;PLCG2;PLEKHA1;PLEKHG5;PLG;PLK2;PLPP3;PLXNB3;PLXND1;PNPO;POLD4;PPARG;PPARGC1A;PPP1R16B;PPP3CA;PPP3CB;PPP3CC;PPP3R1;PPP3R2;PRCP;PRDM14;PRG2;PRKCA;PRKCB;PRKCG;PRKD1;PRKD2;PRKG1;PRKX;PRL;PROK1;PROK2;PROX1;PRSS3;PTGIR;PTGS2;PTK2;PTK2B;PTN;PTP4A3;PTPN1;PTPN11;PTPN12;PTPN2;PTPRJ;PTPRM;PXN;QKI;RAB13;RAB14;RAC1;RAC2;RAC3;RAF1;RAMP2;RAP1A;RAPGEF2;RASA1;RASIP1;RBM15;RECK;RELA;RGCC;RGS14;RHOA;RHOB;RHOD;RHOJ;RICTOR;RIN2;RNF213;ROBO1;ROBO4;ROCK2;RORA;RPS27A;RPTOR;RRAS;RSPO3;RTN4;RUNX2;S100A1;S100A12;S100A2;S100A7;S100A7A;S100A7L2;S100A8;S100A9;S100P;SARS1;SASH1;SCARB1;SCG2;SEMA3E;SEMA4A;SEMA5A;SEMA6A;SERPINA5;SERPINF1;SFRP2;SGPL1;SH2D2A;SH3BP1;SHC2;SHCBP1;SHH;SHOC2;SIRT1;SIRT6;SLC39A14;SLC39A9;SLIT2;SMAD1;SMO;SMOC2;SMPD3;SNAI2;SNCA;SOS1;SOX17;SOX18;SP1;SP100;SPARC;SPHK1;SPHK2;SPP1;SPRED1;SPRY1;SPRY2;SPRY3;SPRY4;SRC;SRF;SRPX2;SST;STARD13;STAT1;STAT3;STAT5A;STC1;STK4;STMN1;STON1;SULF1;SULF2;SVBP;SYNE1;SYNJ2BP;TBX2;TBX20;TBX5;TBXA2R;TEAD2;TEK;TGFB1;TGFBR1;TGFBR2;TGFBR3;TGM2;THAP1;THBS1;THBS4;TIE1;TIPARP;TJP1;TMEM100;TMEM201;TMSB4X;TNF;TNFSF12;TNMD;TNN;TNNI3;TRIM28;TRIM71;TSPAN18;TXNIP;UBA52;UBB;UBC;UBE2L3;VASH1;VASH2;VAV2;VEGFA;VEGFB;VEGFC;VEGFD;VIM;VTN;WARS2;WNT4;WNT5A;WNT7A;WNT7B;WT1;XBP1;XRCC4;YAP1;YJEFN3;ZC3H12A;ZDHHC16;ZEB2;ZFAND5;ZFP36L1;ZFPM2;ZMIZ1;ZNF354C
Angiogenesis,Endothelial Cell Signature,565,14,A2M;ABI3BP;ACKR1;ACTA2;ACVR1;ACVR2B;ACVRL1;ADA2;ADAM10;ADAMTS1;ADAMTS12;ADAMTS5;ADCY4;ADD1;ADGRF5;ADGRL2;ADGRL4;AFDN;AGTR1;AMOTL1;AMOTL2;ANG;ANGPTL2;ANKH;AOC3;APOE;APOLD1;ARAP3;ARHGAP15;ARHGAP25;ARHGAP31;ARHGAP42;ARHGAP6;ARHGDIB;ARHGEF17;ARHGEF26;ARNT;ASPN;ATOH8;ATP1A2;ATP1B1;ATP5F1A;BARX1;BCL6B;BHMT2;BLOC1S6;BMP4;BMP6;BMPR2;BOC;BSG;BTG1;BTNL9;C1orf162;C3;CALCA;CALCRL;CALD1;CALHM2;CALR;CARD6;CAVIN2;CCDC3;CCDC69;CCM2;CD163;CD200;CD248;CD2AP;CD302;CD34;CD36;CD37;CD4;CD48;CD52;CD81;CD93;CDC42;CDH5;CDK17;CDKN2B;CEACAM1;CFTR;CHSY3;CLDN1;CLDN3;CLDN5;CLEC3B;CLIC2;CLIC4;CLIC5;CNN1;CNRIP1;COL14A1;COL15A1;COL18A1;COL21A1;COL3A1;COL4A2;COL5A2;COL5A3;COL6A3;COX4I2;COX7A1;CPED1;CPXM2;CREBL2;CSF2RB;CSGALNACT1;CSNK2B;CTNNB1;CTSO;CXCL10;CYB5R3;CYBRD1;CYGB;CYYR1;DAB2;DCHS1;DDR2;DDX46;DICER1;DKK3;DLC1;DLL1;DLL4;DMD;DPYSL2;DSG2;DUSP6;DYSF;EBF1;ECM2;ECSCR;EDF1;EDIL3;EDN1;EDNRA;EDNRB;ELK3;ELMO1;ELN;EMCN;EMP1;ENPEP;ENPP2;ENTPD1;EPHA3;ERBB2;ERG;ESAM;ETV2;EVI2A;EVI2B;EZR;F11R;F13A1;F2R;F2RL1;FAM107A;FAM13C;FASN;FBLN2;FBLN5;FBN1;FERMT2;FGD5;FGF1;FGFR3;FGL2;FILIP1;FILIP1L;FKBP7;FLI1;FMO2;FNDC1;FOLR2;FOSL2;FOXC2;FOXJ2;FOXO3;FOXP1;FOXP3;FRMD6;FRZB;FSTL1;FXYD5;FXYD6;FYN;FZD1;FZD2;FZD4;GABRA4;GABRB3;GALNT15;GALNT3;GARRE1;GDF2;GEM;GGT5;GIMAP1;GIMAP4;GIMAP5;GIMAP6;GIMAP7;GIMAP8;GIN1;GJA4;GJA5;GJC1;GLT8D2;GMFG;GNG11;GNG2;GPR183;GPR34;GPX1;GRB2;GRK5;GSN;GSTM3;GUCY1B1;GZMK;HAPLN2;HAS2;HECW2;HEG1;HEPH;HEY1;HEY2;HEYL;HMCN1;HNMT;HOXA13;HOXB5;HPSE;HSD17B11;HSPA5;HTRA1;HYAL2;ICAM1;ICAM2;ID1;ID3;IER2;IFFO1;IFNG;IGBP1;IGFBP4;IGFBP7;IKBKB;IL10RA;IL16;IL1B;IPO11;IQGAP2;IRAG1;IRAG2;IRAK3;IRF8;ITGA7;ITGA9;ITGAX;ITGB5;ITIH5;ITK;ITM2A;JAG1;JAG2;JAM2;JAM3;JDP2;KANK2;KANK3;KCNJ8;KCTD12;KDM6B;KDR;KIT;KLF11;KLHDC1;KRAS;KRIT1;KSR1;LAMA4;LAMB2;LATS2;LAYN;LCN2;LDB2;LGALS8;LHFPL6;LIPA;LIX1L;LMO2;LPL;LRPAP1;LRRC17;LRRC32;LRRC8C;LUM;LY75-CD302;MAGI1;MAML2;MAP4K3;MARVELD2;MCAM;MECOM;MESP1;MET;MFAP3;MFAP4;MFGE8;MGP;MIR1-1;MIR10A;MIR199B;MIR200C;MIR21;MIR34A;MIR99B;MMP2;MN1;MPEG1;MPRIP;MS4A6A;MSN;MSRB3;MSX1;MUC20;MUSTN1;MYADM;MYCT1;MYD88;MYH11;MYL9;NAGLU;NCF4;NCOA7;NDP;NEDD4;NEGR1;NES;NID1;NID2;NLRC3;NNMT;NOS3;NOTCH1;NOTCH3;NOTCH4;NPDC1;NR2F2;NRG1;NRP1;NRXN1;NUAK1;NXF1;OLFML1;OLFML2B;OLFML3;OLR1;P2RY14;P2RY8;PALM2AKAP2;PALMD;PCDH12;PCDH17;PCDH18;PCOLCE;PDCD10;PDE2A;PDE4D;PDE5A;PDE7B;PDK4;PDLIM2;PDPN;PEAK1;PEAR1;PECAM1;PELO;PER2;PGLYRP1;PGM5;PIEZO2;PIK3R1;PILRA;PITX2;PJA2;PKM;PLAC9;PLCB1;PLCL1;PLEKHG1;PLN;PLOD3;PLPP1;PLSCR4;PLVAP;PLXDC1;PLXNA2;PMP22;PODXL;POSTN;PPARG;PPARGC1A;PPM1F;PPP1R12A;PPP1R16B;PRELP;PREX1;PRKCH;PRKD2;PRKDC;PRKG1;PROC;PROM1;PROX1;PRRX1;PRSS23;PTGER3;PTGIS;PTPRB;PTPRE;PTPRG;PTPRS;RAB1A;RAB1B;RAMP3;RAP1A;RAP1B;RAP2B;RAP2C;RAPGEF1;RAPGEF2;RAPGEF3;RAPGEF4;RAPGEF6;RARRES2;RASGRP3;RASSF2;RBMS1;RBPJ;RBX1;RCAN2;RCBTB2;RCSD1;RDX;RERE;RFLNB;RGL1;RGS18;RGS5;RHOA;RHOB;RNASE1;RNASE4;RNASE6;RNF144A;RNF38;ROBO4;ROCK1;ROCK2;RPS27A;RPS6KA2;RUNX1T1;S1PR1;S1PR2;S1PR3;SCUBE1;SCUBE3;SELL;SELP;SEMA3G;SEMA6D;SEPTIN8;SERINC1;SERPINI1;SFRP4;SGIP1;SH2B3;SH2D3C;SH3BP5;SHANK3;SHE;SLC30A5;SLC39A1;SLC40A1;SLCO2A1;SLCO2B1;SLIT3;SMAD4;SMAD7;SMOC2;SMTN;SNED1;SNRK;SOCS5;SORBS1;SORBS3;SOX17;SOX18;SPARCL1;SPRED2;SST;ST8SIA4;STAB1;STAMBPL1;STARD13;STC1;STXBP1;SUSD6;SVEP1;SWAP70;SYNE1;SYNE3;SYNPO2;SYT11;TACC1;TAGLN;TCF4;TECPR1;TGFB1I1;TGFBR2;THBD;THEMIS2;THSD7A;THY1;TIE1;TIMP3;TJP1;TJP2;TJP3;TLN1;TMEM100;TMEM204;TMEM47;TNF;TNFRSF1A;TNFRSF21;TNMD;TNS1;TNS2;TNS3;TRIM71;TSPAN4;TSPAN7;TTC28;UNC5B;UTRN;VCAN;VCL;VEGFA;VIM;VWF;WIPF1;ZCCHC24;ZDHHC21;ZEB1;ZNF362;ZNF423;ZNF521;ZNF532
Angiogenesis,Hypoxia Signalling,298,7,ACKR3;ADM;ADORA2B;AGO1;AK4;AKAP12;AKT1;AKT2;AKT3;ALDOA;ALDOB;ALDOC;AMPD3;ANGPT1;ANGPT2;ANGPT4;ANGPTL4;ANKZF1;ANXA2;ARNT;ATF3;ATP7A;B3GALT6;B4GALNT2;BCAN;BCL2;BGN;BHLHE40;BLOC1S6;BNIP3L;BRS3;BTG1;CA12;CAMK2A;CAMK2B;CAMK2D;CAMK2G;CASP6;CAV1;CAVIN1;CAVIN3;CCN1;CCN2;CCN5;CCND2;CCNG2;CDKN1A;CDKN1B;CDKN1C;CHST2;CHST3;CITED2;COL5A1;CP;CREBBP;CSRP2;CUL2;CXCR4;CYBB;DCN;DDIT3;DDIT4;DICER1;DPYSL4;DTNA;DUSP1;EDN1;EDN2;EFNA1;EFNA3;EGF;EGFR;EGLN1;EGLN2;EGLN3;EIF4E;EIF4E1B;EIF4E2;EIF4EBP1;ELOB;ELOC;ENO1;ENO2;ENO3;EP300;EPAS1;EPO;ERBB2;ERO1A;ERRFI1;ETS1;EXT1;F3;FBP1;FLT1;FOS;FOSL2;FOXO3;FSHR;GAA;GALK1;GAPDH;GAPDHS;GBE1;GCK;GCNT2;GLRX;GNE;GNG2;GPC1;GPC3;GPC4;GPI;GRHPR;GYS1;HAS1;HDAC6;HDLBP;HEXA;HIF1A;HK1;HK2;HK3;HKDC1;HMOX1;HOXB9;HS3ST1;HSPA5;HSPB1;HSPG2;IDS;IER3;IFNG;IFNGR1;IFNGR2;IGF1;IGF1R;IGFBP1;IGFBP3;IL6;IL6R;ILVBL;INHA;INS;INSR;IRS2;ISG20;JMJD6;JUN;KDELR3;KDM3A;KIF5A;KLF6;KLF7;KLHL24;LALBA;LARGE1;LDHA;LDHAL6A;LDHAL6B;LDHB;LDHC;LOX;LTBR;LXN;MAFF;MAP2K1;MAP2K2;MAP3K1;MAPK1;MAPK3;MIF;MKNK1;MKNK2;MT1E;MT2A;MTOR;MXI1;MYH9;NAGK;NCAN;NDRG1;NDST1;NDST2;NEDD4L;NFIL3;NFKB1;NOCT;NOS2;NOS3;NPPA;NR3C1;NRP1;P3R3URF-PIK3R3;P4HA1;P4HA2;PAM;PCK1;PDGFB;PDHA1;PDHA2;PDHB;PDK1;PDK3;PELO;PFKFB3;PFKL;PFKM;PFKP;PGAM2;PGF;PGK1;PGK2;PGM1;PGM2;PHKG1;PIK3CA;PIK3CB;PIK3CD;PIK3R1;PIK3R2;PIK3R3;PIM1;PKLR;PKP1;PLAUR;PLCG1;PLCG2;PLIN2;PNRC1;PPARGC1A;PPFIA4;PPP1R15A;PPP1R3C;PRDX5;PRKCA;PRKCB;PRKCG;PRKDC;PRL;PYGM;RBPJ;RBX1;RELA;RORA;RPS6;RPS6KB1;RPS6KB2;RRAGD;S100A4;SAP30;SCARB1;SDC2;SDC3;SDC4;SELENBP1;SELL;SERPINE1;SIAH2;SLC25A1;SLC2A1;SLC2A3;SLC2A5;SLC30A4;SLC37A4;SLC39A14;SRPX;STAT3;STBD1;STC1;STC2;SULT2B1;TEK;TES;TF;TFRC;TGFB3;TGFBI;TGM2;TIMP1;TIPARP;TKTL1;TLR4;TMEM45A;TNFAIP3;TPBG;TPD52;TPI1;TPST2;UGP2;VCL;VEGFA;VHL;VLDLR;WSB1;XPNPEP1;ZFP36;ZNF292
EMT,EMT Initiation,625,13,AASDH;ACKR3;ACVR1;ACVR1B;ACVR1C;ACVR2A;ACVR2B;ADAM17;ADM;ADORA2B;AK4;AKAP12;AKT1;AKT2;AKT3;ALDOA;ALDOB;ALDOC;AMH;AMHR2;AMPD3;ANGPT1;ANGPT2;ANGPT4;ANGPTL4;ANKZF1;ANXA2;APC;APC2;APCDD1;APH1A;APH1B;ARNT;ARRB1;ARRB2;ATF3;ATP7A;ATXN1;ATXN1L;AXIN1;AXIN2;B3GALT6;B4GALNT2;BAMBI;BCAN;BCL2;BGN;BHLHE40;BMP2;BMP4;BMP5;BMP6;BMP7;BMP8A;BMP8B;BMPR1A;BMPR1B;BMPR2;BNIP3L;BOC;BRS3;BTG1;BTRC;CA12;CACYBP;CAMK2A;CAMK2B;CAMK2D;CAMK2G;CASP6;CAV1;CAVIN1;CAVIN3;CBY1;CCAR2;CCDC88C;CCN1;CCN2;CCN4;CCN5;CCND1;CCND2;CCND3;CCNG2;CDKN1A;CDKN1B;CDKN1C;CDKN2B;CDON;CER1;CHD8;CHRD;CHST2;CHST3;CIRSR;CITED2;COL5A1;COPS7A;CP;CREBBP;CSNK1A1;CSNK1A1L;CSNK1D;CSNK1E;CSNK1G1;CSNK1G2;CSNK1G3;CSNK2A1;CSNK2A2;CSNK2A3;CSNK2B;CSRP2;CTBP1;CTBP2;CTNNB1;CTNNBIP1;CTNND2;CUL1;CUL2;CUL3;CXCR4;CXXC4;CYBB;DAAM1;DAAM2;DCN;DDIT3;DDIT4;DHH;DISP1;DKK1;DKK2;DKK4;DLL1;DLL3;DLL4;DPYSL4;DTNA;DTX1;DTX2;DTX3;DTX3L;DTX4;DUSP1;DVL1;DVL2;DVL3;E2F4;E2F5;EDN1;EDN2;EFCAB7;EFNA1;EFNA3;EGF;EGFR;EGLN1;EGLN2;EGLN3;EIF4E;EIF4E1B;EIF4E2;EIF4EBP1;ELOB;ELOC;EMP3;ENO1;ENO2;ENO3;EP300;EPAS1;EPO;ERBB2;ERO1A;ERRFI1;ETS1;EVC;EVC2;EXT1;F3;FBN1;FBP1;FBXW11;FLT1;FMOD;FOS;FOSL1;FOSL2;FOXO3;FRAT1;FRAT2;FRZB;FST;FZD1;FZD10;FZD2;FZD3;FZD4;FZD5;FZD6;FZD7;FZD8;FZD9;GAA;GALK1;GAPDH;GAPDHS;GAS1;GBE1;GCK;GCNT2;GDF5;GDF6;GDF7;GFPT2;GLI1;GLI2;GLI3;GLRX;GPC1;GPC3;GPC4;GPI;GPR161;GREM1;GREM2;GRHPR;GRK2;GRK3;GSK3B;GYS1;HAMP;HAS1;HDAC1;HDAC2;HDLBP;HES1;HES5;HEXA;HEY1;HEY2;HEYL;HFE;HHAT;HHATL;HHIP;HIF1A;HJV;HK1;HK2;HK3;HKDC1;HMOX1;HOXB9;HS3ST1;HSPA5;ID1;ID2;ID3;ID4;IDS;IER3;IFNG;IFNGR1;IFNGR2;IGF1;IGF1R;IGFBP1;IGFBP3;IGSF1;IHH;IL6;IL6R;ILVBL;INHA;INHBA;INHBB;INHBC;INHBE;INS;INSR;INVS;IQCE;IRS2;ISG20;ITCH;JAG1;JAG2;JMJD6;JUN;KAT2A;KAT2B;KDELR3;KDM3A;KIF3A;KIF5A;KIF7;KLF6;KLF7;KLHL24;LALBA;LARGE1;LDHA;LDHAL6A;LDHAL6B;LDHB;LDHC;LEF1;LEFTY1;LEFTY2;LEMD3;LFNG;LGR4;LGR5;LGR6;LOX;LRP2;LRP5;LRP6;LRRC32;LTBP1;LTBR;LXN;LZTS2;MAFF;MAML1;MAML2;MAML3;MAP2K1;MAP2K2;MAP3K1;MAP3K7;MAPK1;MAPK10;MAPK3;MAPK8;MAPK9;MCC;MEGF8;MFNG;MGRN1;MICOS10-NBL1;MIF;MKNK1;MKNK2;MMP7;MOSMO;MT1E;MT2A;MTOR;MUSK;MXI1;MYC;MYH9;NAGK;NCAN;NCOR1;NCOR2;NCSTN;NDRG1;NDST1;NDST2;NDUFAB1;NEDD4L;NEO1;NFATC1;NFATC2;NFATC3;NFATC4;NFIL3;NFKB1;NKD1;NKD2;NLK;NOCT;NODAL;NOG;NOS2;NOS3;NOTCH1;NOTCH2;NOTCH3;NOTCH4;NOTUM;NPPA;NR3C1;NRARP;NRROS;NUMB;NUMBL;P3R3URF-PIK3R3;P4HA1;P4HA2;PAM;PCK1;PDGFB;PDHA1;PDHA2;PDHB;PDK1;PDK3;PFKFB3;PFKL;PFKM;PFKP;PGAM2;PGF;PGK1;PGK2;PGM1;PGM2;PHKG1;PIK3CA;PIK3CB;PIK3CD;PIK3R1;PIK3R2;PIK3R3;PIM1;PITX2;PKLR;PKP1;PLAC8;PLAUR;PLCB1;PLCB2;PLCB3;PLCB4;PLCG1;PLCG2;PLIN2;PNRC1;PORCN;PPARD;PPARGC1A;PPFIA4;PPP1R15A;PPP1R3C;PPP2CA;PPP2CB;PPP2R1A;PPP2R1B;PPP3CA;PPP3CB;PPP3CC;PPP3R1;PPP3R2;PRDX5;PRICKLE1;PRICKLE2;PRICKLE3;PRICKLE4;PRKACA;PRKACB;PRKACG;PRKCA;PRKCB;PRKCG;PRL;PSEN1;PSEN2;PSENEN;PTCH1;PTCH2;PTCRA;PYGM;RAC1;RAC2;RAC3;RBL1;RBPJ;RBPJL;RBX1;RELA;RFNG;RGMA;RGMB;RHOA;RNF43;ROCK1;ROCK2;ROR1;ROR2;RORA;RPS6;RPS6KB1;RPS6KB2;RRAGD;RSPO1;RSPO2;RSPO3;RSPO4;RUVBL1;RYK;S100A4;SAP30;SCARB1;SCUBE2;SDC2;SDC3;SDC4;SELENBP1;SENP2;SERPINE1;SERPINF1;SFRP1;SFRP2;SFRP4;SFRP5;SH3YL1;SHH;SIAH1;SIAH2;SIN3A;SIRT1;SKI;SKIL;SKP1;SLC25A1;SLC2A1;SLC2A3;SLC2A5;SLC37A4;SMAD1;SMAD2;SMAD3;SMAD4;SMAD5;SMAD6;SMAD7;SMAD9;SMO;SMURF1;SMURF2;SNW1;SOST;SOX17;SP1;SPEN;SPOP;SPOPL;SRPX;STAT3;STBD1;STC1;STC2;SUFU;SULT2B1;TBL1X;TBL1XR1;TBL1Y;TCF7;TCF7L1;TCF7L2;TEK;TES;TF;TFDP1;TFR2;TFRC;TGFB1;TGFB2;TGFB3;TGFBI;TGFBR1;TGFBR2;TGIF1;TGIF2;TGM2;THBS1;THSD4;TIMP1;TIPARP;TKTL1;TLE1;TLE2;TLE3;TLE4;TLE6;TLE7;TLR4;TMEM45A;TMEM53;TNF;TNFAIP3;TP53;TPBG;TPD52;TPI1;TPST2;TPTEP2-CSNK1E;UGP2;VANGL1;VANGL2;VCP;VEGFA;VHL;VLDLR;WIF1;WNT1;WNT10A;WNT10B;WNT11;WNT16;WNT2;WNT2B;WNT3;WNT3A;WNT4;WNT5A;WNT5B;WNT6;WNT7A;WNT7B;WNT8A;WNT8B;WNT9A;WNT9B;WSB1;XPNPEP1;ZFP36;ZFYVE16;ZFYVE9;ZNF292;ZNRF3
